nurse_id,first_name,last_name,birth_date,gender,contact,position,department_id,hire_date
NUR-138426,Jonathan,Bond,1996-08-28,M,261.532.3416x5913,Midwife,DEP-009,2011-10-11
NUR-138714,Courtney,Neal,1982-09-01,F,686-405-5772x697,Nurse Practitioner,DEP-005,2017-02-03
NUR-139100,Kayla,Williams,1997-12-04,F,416-609-8597,Nurse Educator,DEP-005,2000-12-20
NUR-139790,Patty,Davis,1973-07-24,F,(705)598-4546,Nurse Practitioner,DEP-004,2026-05-30
NUR-140282,Bonnie,Contreras,1973-05-29,F,5220244659,Nurse Practitioner,DEP-003,2015-08-26
NUR-140318,Yolanda,Castro,1981-04-30,F,(865)044-1213x708,RN,DEP-007,2016-07-18
NUR-143352,Cheryl,Ramos,1980-03-19,F,+1-851-112-4865,Nurse Informaticist,DEP-014,2019-01-21
NUR-143575,Paul,Adams,1981-07-29,NB,+1-029-736-0762,Nurse Educator,DEP-016,2021-04-30
NUR-144307,Maria,Cain,1973-07-09,F,001-210-703-0121x822,RN,DEP-010,2025-07-01
NUR-144613,Lacey,Dunn,1987-12-09,F,+1-934-218-0170,RN,DEP-007,2024-10-07
NUR-144695,Aaron,Cole,1988-05-26,M,(071)925-6422x9239,Nurse Practitioner,DEP-004,2014-12-16
NUR-145770,Sean,Allen,1989-03-25,M,952.270.3478x80204,Oncology Nurse,DEP-010,2018-10-29
NUR-147181,Jennifer,Flores,1961-08-31,F,860.082.3539x2851,RN,DEP-012,2003-10-21
NUR-148781,Nicole,Wyatt,1970-06-25,F,360.794.8170x905,CRNA,DEP-001,2000-06-27
NUR-148911,Sara,Cook,1994-01-09,F,(395)674-8181x4468,Nurse Educator,DEP-007,2024-10-20
NUR-149214,Nichole,Richardson,1992-04-17,F,+1-604-437-7131x3257,Midwife,DEP-009,2002-08-23
NUR-151159,Kelly,Brown,1999-06-05,F,001-736-653-8586x948,RN,DEP-015,2022-07-31
NUR-151377,Margaret,Rowe,1974-10-13,F,597.274.7779x990,Med-Surgical,DEP-002,2001-11-18
NUR-151808,Lori,Turner,1988-12-02,F,(547)836-3752x36960,Nurse Practitioner,DEP-017,2003-04-28
NUR-153016,April,Trujillo,2004-02-02,F,001-651-932-1857,RN,DEP-006,2019-11-21
NUR-153621,Teresa,Padilla,1995-06-09,F,001-754-726-6965x806,Nurse Administrator,DEP-014,2020-12-04
NUR-154284,Christina,Kent,1977-09-14,F,297-269-7638,Nurse Educator,DEP-003,2006-04-22
NUR-156045,Jennifer,Hampton,1980-11-13,F,(053)883-1148,RN,DEP-012,2024-09-26
NUR-157415,Amy,Miller,1962-11-25,F,9700664632,CRNA,DEP-018,2016-04-01
NUR-158433,Aaron,Smith,1991-12-12,M,001-459-880-8785x611,Med-Surgical,DEP-001,2010-12-28
NUR-158825,Tami,Johnston,1978-11-05,F,001-962-113-9806x771,Oncology Nurse,DEP-010,2008-07-19
NUR-159560,Mary,Brooks,1964-12-13,F,001-581-401-4114x577,Nurse Informaticist,DEP-010,2005-11-17
NUR-160277,Jennifer,Turner,1994-06-25,F,001-488-230-1158x926,ER,DEP-001,2025-03-18
NUR-160947,Yvonne,Diaz,1991-10-08,F,463.890.9388x240,LPN,DEP-005,2019-09-03
NUR-161735,Kimberly,Jones,1975-07-14,F,+1-446-598-8249x2072,RN,DEP-005,2001-01-14
NUR-162294,Karen,Smith,1977-09-29,F,117-609-1740x40274,Midwife,DEP-009,2023-04-07
NUR-162698,Rachel,Byrd,1987-08-01,F,384-230-2972,ER,DEP-001,2024-01-11
NUR-163153,Tina,Lloyd,1991-03-23,F,123.442.2905,Midwife,DEP-009,2005-05-18
NUR-165287,Rachel,Mcgee,2002-04-01,F,879.543.9463,Nurse Practitioner,DEP-004,2015-11-13
NUR-165525,Victoria,Murphy,1972-07-26,F,001-519-362-7596,Oncology Nurse,DEP-010,2013-08-14
NUR-165543,Mary,Mathews,1977-06-25,F,311.044.7742,Med-Surgical,DEP-004,2019-03-20
NUR-166721,Stephanie,Willis,1982-08-06,F,264.824.1187x389,Nurse Informaticist,DEP-016,2012-08-01
NUR-167071,Heather,Gordon,1992-10-24,F,326-225-0686,RN,DEP-005,2022-08-14
NUR-167132,Angela,Smith,1999-06-14,F,412.594.5214,Nurse Administrator,DEP-018,2019-02-07
NUR-167173,Kaitlyn,Compton,1974-07-03,F,001-270-435-7677x081,Med-Surgical,DEP-001,2012-08-03
NUR-167455,Michelle,Hall,2004-04-16,F,153-535-0640,CRNA,DEP-002,2005-01-28
NUR-167910,Tara,Hernandez,1987-01-22,F,815.614.7362x537,Oncology Nurse,DEP-010,2008-12-08
NUR-168431,Renee,Jordan,1961-05-30,F,879-631-7820,Nurse Informaticist,DEP-004,2003-06-12
NUR-169254,Cheryl,Potter,1981-10-12,F,(718)162-8898,Nurse Informaticist,DEP-001,2016-07-29
NUR-170400,Stephen,Werner,1996-07-03,NB,(003)089-9957,LPN,DEP-004,2026-03-23
NUR-173298,Sharon,Rodriguez,1989-09-02,F,+1-597-357-6274x4442,Nurse Practitioner,DEP-011,2018-06-12
NUR-174869,Heather,Thompson,2003-01-03,F,019-456-6145,Oncology Nurse,DEP-010,2023-08-26
NUR-175454,Carolyn,Jones,1991-08-26,F,112-529-7469x7483,LPN,DEP-009,2006-03-06
NUR-175531,Cheryl,Sanford,1968-03-15,F,+1-591-927-9287x725,Nurse Administrator,DEP-014,2008-05-04
NUR-176079,Amanda,Garcia,2001-08-07,F,(460)951-6970x558,CRNA,DEP-018,2010-08-18
NUR-176250,Lauren,Bridges,1968-07-02,F,5838360884,Nurse Educator,DEP-008,2006-05-09
NUR-178230,Brian,Johnson,1979-12-21,M,7652733529,Nurse Educator,DEP-015,2023-05-14
NUR-179588,Christopher,Cunningham,1990-01-25,M,1742201660,RN,DEP-017,2018-08-19
NUR-181390,Nathan,Carrillo,1961-09-18,NB,+1-517-872-0219,RN,DEP-005,2003-02-08
NUR-182504,Jacqueline,Hicks,1985-12-08,F,001-946-136-7402,RN,DEP-005,2012-06-28
NUR-182633,Sandra,Patel,1980-12-13,F,+1-318-386-3797,Nurse Informaticist,DEP-005,2022-08-18
NUR-183927,Elizabeth,Burke,1994-03-31,F,922-951-5511x58971,RN,DEP-012,2020-10-23
NUR-184144,Andre,Miller,1960-09-24,M,1253515967,Nurse Administrator,DEP-015,2000-08-10
NUR-187740,Brittany,Smith,1980-04-15,F,131-403-7605x4458,Nurse Educator,DEP-007,2013-03-09
NUR-188187,Cheyenne,Reyes,1978-02-03,F,001-484-925-2447x249,Nurse Informaticist,DEP-012,2011-11-27
NUR-188529,Lisa,Brown,1963-12-09,F,(159)952-7262x7192,Med-Surgical,DEP-001,2009-10-03
NUR-188754,Taylor,Weiss,1968-01-15,F,662.998.0751x417,RN,DEP-003,2010-05-22
NUR-189674,Robin,Turner,1980-10-26,F,(815)856-1413,RN,DEP-016,2010-05-05
NUR-191085,Katie,Johnson,1970-09-30,F,(533)390-9268x106,ER,DEP-001,2022-02-26
NUR-191333,Jennifer,Campbell,1965-05-03,F,323.861.3159x4838,Nurse Educator,DEP-008,2013-01-06
NUR-192222,Katelyn,Warren,1967-09-12,F,+1-504-930-9011x196,Nurse Informaticist,DEP-003,2000-04-01
NUR-192482,Heather,Arroyo,1965-07-14,F,8196510130,LPN,DEP-013,2018-09-04
NUR-192918,Rachel,Oneill,1997-09-12,F,(067)517-7768x32926,Nurse Practitioner,DEP-002,2023-04-07
NUR-193467,Sara,Anderson,1973-04-19,F,+1-060-183-5504x221,CRNA,DEP-002,2021-10-01
NUR-193581,Samantha,Harrison,1984-07-08,F,261-203-3685x82210,Med-Surgical,DEP-020,2005-06-26
NUR-195862,Patricia,Roth,1993-06-30,F,299-790-9988,Nurse Administrator,DEP-004,2015-08-04
NUR-196680,Christina,Harding,1971-11-23,F,+1-041-261-0012x0681,Med-Surgical,DEP-001,2018-10-11
NUR-196738,Mary,Villa,1994-05-10,F,(331)529-3731,Nurse Informaticist,DEP-003,2005-01-28
NUR-197475,Heather,Wilcox,1998-08-22,F,+1-041-292-5152x5416,Med-Surgical,DEP-004,2007-10-17
NUR-197654,Stacy,Rodgers,1962-07-11,F,+1-280-753-2120x7782,Nurse Educator,DEP-008,2024-12-05
NUR-197756,Alyssa,Rowe,1966-12-07,F,(356)140-5959x09405,Nurse Administrator,DEP-016,2010-02-17
NUR-197970,Joy,Foster,1974-10-03,F,626-048-1833x4725,LPN,DEP-019,2011-12-10
NUR-200395,Wayne,Hogan,1977-11-16,M,001-077-520-9532x238,Nurse Educator,DEP-014,2020-09-09
NUR-201516,Christina,Jackson,1963-08-25,F,199.669.7082x1601,Med-Surgical,DEP-002,2014-05-12
NUR-201568,Jennifer,Williams,1977-12-10,F,366.643.0315,LPN,DEP-014,2011-10-20
NUR-201987,Rachel,Hall,1981-12-03,F,121.989.9606x2714,Midwife,DEP-009,2026-05-24
NUR-202925,Misty,Vincent,1987-05-30,F,093.043.1702,Nurse Practitioner,DEP-008,2004-12-24
NUR-203074,Rebecca,Higgins,1977-09-01,F,723-600-1340x1328,Nurse Informaticist,DEP-008,2021-03-13
NUR-203478,Kylie,Martin,2003-08-13,F,+1-561-742-4590x188,Oncology Nurse,DEP-010,2000-09-21
NUR-204956,Christina,Woods,1980-01-27,F,(764)886-1384x5482,Nurse Administrator,DEP-002,2000-06-19
NUR-205303,Deborah,Torres,1975-06-02,F,+1-294-631-2924x756,ER,DEP-001,2000-06-19
NUR-205498,Kathryn,Garcia,1964-01-24,F,+1-273-943-1779,Nurse Administrator,DEP-017,2014-03-29
NUR-205774,Mark,Franco,1991-05-29,M,+1-839-178-1370x228,ER,DEP-001,2006-03-07
NUR-205883,Angela,Smith,1990-09-25,F,(593)021-9327x866,Midwife,DEP-009,2002-05-21
NUR-207415,Heather,Walker,1995-06-02,F,001-892-241-0358x073,Med-Surgical,DEP-001,2018-10-27
NUR-210006,James,Reynolds,1981-03-05,NB,+1-247-171-9213x8097,Nurse Administrator,DEP-011,2008-11-20
NUR-211127,Veronica,Wheeler,1999-10-11,F,105.825.1866x39401,Med-Surgical,DEP-001,2016-05-27
NUR-211828,Ashley,Thomas,1976-03-20,F,001-332-332-5991x337,Med-Surgical,DEP-002,2017-04-09
NUR-212936,Kathryn,Donaldson,1963-10-18,F,+1-090-317-6087x2482,Oncology Nurse,DEP-010,2006-12-29
NUR-213333,Sarah,Allen,1968-05-20,F,056-314-8576x822,Midwife,DEP-009,2024-05-06
NUR-213747,Leah,Boyle,1987-11-05,F,001-307-784-0594x197,Oncology Nurse,DEP-010,2014-09-29
NUR-214127,Andrew,Hill,1993-04-16,M,8338723967,LPN,DEP-002,2001-03-07
NUR-215135,Carla,Robinson,1979-05-07,F,(877)483-7561x6719,RN,DEP-010,2016-11-09
NUR-215950,Timothy,Jones,1980-08-09,M,503-226-5709,Med-Surgical,DEP-001,2022-12-09
NUR-219249,Susan,Thomas,1985-08-27,F,001-762-939-1455x040,Nurse Informaticist,DEP-004,2025-04-23
NUR-221384,Tara,Tyler,1987-01-26,F,001-949-981-0173,Nurse Administrator,DEP-015,2025-06-26
NUR-221750,Regina,Smith,1962-05-07,F,(552)494-2165x632,Med-Surgical,DEP-020,2000-09-13
NUR-221987,Christina,Castillo,1980-03-17,F,753.286.6122,RN,DEP-017,2016-12-07
NUR-223319,Jessica,Petersen,1983-07-21,F,001-760-914-9760x620,Nurse Educator,DEP-015,2010-09-08
NUR-223427,Katrina,Price,1997-01-19,F,(761)018-0739,RN,DEP-002,2012-07-08
NUR-227245,Amber,Salazar,1974-08-28,F,001-520-484-9104,Nurse Informaticist,DEP-005,2024-09-26
NUR-227647,Danielle,Soto,1989-04-04,F,+1-714-229-7075x785,ER,DEP-001,2014-12-03
NUR-228058,Sarah,Roach,1974-09-10,F,001-520-945-7410,Nurse Administrator,DEP-003,2007-01-30
NUR-228255,Andrea,Smith,1964-09-11,F,382-593-9287,ER,DEP-001,2019-05-10
NUR-231179,Thomas,Hall,1998-11-28,M,802-292-3004,Nurse Educator,DEP-004,2026-03-07
NUR-232061,Jordan,Bridges,1968-12-13,F,001-503-259-8994x106,CRNA,DEP-002,2005-10-22
NUR-233667,Haley,Vasquez,1999-07-11,F,001-585-479-4390x862,RN,DEP-009,2006-05-26
NUR-234067,Mark,Pittman,1970-02-02,NB,667.822.2803,Midwife,DEP-009,2008-11-19
NUR-234449,Vanessa,Morgan,1987-09-30,F,283-519-4978x49232,Med-Surgical,DEP-002,2024-07-16
NUR-234632,Charlene,Taylor,1970-03-29,F,(199)912-6426x9655,LPN,DEP-014,2001-06-19
NUR-235130,Jacob,Snyder,1970-10-16,M,330-672-2506x6716,RN,DEP-003,2000-01-01
NUR-235833,Jessica,Williams,1968-04-27,F,7633203076,Nurse Administrator,DEP-014,2008-09-25
NUR-236258,Adrian,Shaffer,1986-09-04,M,613.129.9320x9959,CRNA,DEP-018,2006-12-07
NUR-236534,Judith,Patterson,1997-05-23,F,718-437-0084x1994,Nurse Educator,DEP-017,2008-09-27
NUR-236862,Jenna,Sparks,1989-11-20,F,097-652-7187,Nurse Informaticist,DEP-002,2016-02-03
NUR-237634,Alicia,Montoya,1978-11-20,F,001-788-299-0255x506,Nurse Educator,DEP-011,2013-04-26
NUR-237858,Brittany,Taylor,1976-10-06,F,398.807.8786,Med-Surgical,DEP-001,2000-06-02
NUR-239347,Debra,Mcdonald,1975-04-15,F,015.846.1233x2617,Nurse Informaticist,DEP-004,2018-08-14
NUR-240280,Christine,Forbes,2004-07-16,F,3814116427,Nurse Administrator,DEP-020,2018-02-02
NUR-245995,Tina,Estrada,1977-02-20,F,5457274043,Nurse Informaticist,DEP-005,2023-08-29
NUR-247020,Ann,Thornton,1973-08-30,F,1260101279,Nurse Administrator,DEP-003,2015-10-15
NUR-247836,Edward,Le,1978-03-16,M,001-443-029-7553,Oncology Nurse,DEP-010,2022-10-06
NUR-249027,Michael,Tyler,2004-04-05,M,(621)423-1181x04731,Med-Surgical,DEP-001,2019-08-24
NUR-249210,Melissa,Fuller,1977-06-03,F,416.884.6245x205,Oncology Nurse,DEP-010,2022-07-10
NUR-249839,Rachel,Meyers,1975-12-12,F,+1-506-099-7584x944,Med-Surgical,DEP-001,2021-04-15
NUR-250219,Ashley,Gallegos,1971-03-14,F,803-134-2037x28796,RN,DEP-018,2015-03-07
NUR-251683,Vernon,Haas,1989-06-13,M,138-145-6357x917,Nurse Informaticist,DEP-017,2020-04-21
NUR-253356,Suzanne,Berg,1996-11-20,F,(343)548-8786,ER,DEP-001,2012-06-18
NUR-254662,Diamond,Robertson,1983-03-31,F,001-059-236-5767x584,Nurse Informaticist,DEP-010,2010-03-20
NUR-256399,Tammy,Kent,1971-06-07,F,053.341.1842x7566,Midwife,DEP-009,2013-01-01
NUR-256645,April,Collins,1979-12-13,F,001-697-158-0028x866,RN,DEP-017,2008-05-12
NUR-257364,Jane,Hunt,2002-10-13,F,494-228-7453,CRNA,DEP-018,2017-04-18
NUR-261618,Amanda,Sutton,1968-04-01,F,001-817-354-4219,Nurse Informaticist,DEP-015,2012-10-31
NUR-264261,Brittany,Brown,1983-05-02,F,001-346-786-7665x789,Nurse Practitioner,DEP-014,2019-07-10
NUR-264972,Ruth,Sanchez,1989-04-26,F,516-403-5224x1625,Midwife,DEP-009,2005-10-21
NUR-266483,Angelica,Wilson,1970-10-15,F,+1-054-110-5361x030,Nurse Informaticist,DEP-018,2022-06-02
NUR-268814,Tammy,Powell,1968-06-26,F,379-131-6996x776,Nurse Informaticist,DEP-009,2001-11-30
NUR-272074,Lindsey,Peterson,1988-11-18,F,(401)388-6468x163,CRNA,DEP-018,2022-05-19
NUR-275472,Robin,Chambers,1962-06-28,F,001-212-897-6983x757,Oncology Nurse,DEP-010,2006-10-03
NUR-276081,Sharon,Adams,1974-12-22,F,+1-093-620-4310x655,Midwife,DEP-009,2001-11-18
NUR-276546,Peggy,Brown,2000-12-10,NB,+1-673-391-8227x467,Nurse Informaticist,DEP-005,2010-01-10
NUR-278899,Anthony,Hurley,1963-05-21,M,161-563-9765,ER,DEP-001,2026-04-02
NUR-279058,Theresa,Brown,1972-07-02,F,(671)350-1082,Midwife,DEP-009,2006-12-26
NUR-280557,Teresa,Wagner,1979-07-13,F,(535)019-5463x580,ER,DEP-001,2012-08-22
NUR-281284,Jennifer,Dyer,1968-10-30,F,776.179.5359,LPN,DEP-001,2006-11-17
NUR-281454,Sarah,Lopez,1988-06-03,F,001-744-021-0256x064,CRNA,DEP-002,2019-01-05
NUR-282327,Jennifer,Bradley,1963-06-30,F,571-752-2644x8558,Nurse Informaticist,DEP-011,2022-08-07
NUR-283290,Lisa,Jordan,1992-06-08,F,001-252-236-3807x319,Nurse Informaticist,DEP-009,2016-08-02
NUR-284299,Sabrina,Pruitt,1995-03-07,F,091.763.9222,RN,DEP-012,2020-02-19
NUR-284358,Charlotte,Kemp,1979-02-27,F,001-900-055-6938x837,Nurse Informaticist,DEP-004,2004-12-10
NUR-284426,Erin,Brennan,1997-07-24,F,5640581899,Nurse Administrator,DEP-006,2025-08-31
NUR-285048,Jacqueline,Baker,2003-10-28,F,(453)506-8431,ER,DEP-001,2011-11-08
NUR-285422,Jasmine,Mills,1977-10-02,F,668-699-2717x045,LPN,DEP-012,2001-04-17
NUR-289009,Jason,Hale,1974-08-21,M,985-619-9606x2711,Nurse Informaticist,DEP-001,2014-04-02
NUR-289484,Amy,Ewing,1987-09-17,F,+1-495-533-0681x6982,Oncology Nurse,DEP-010,2007-10-10
NUR-290245,Sabrina,Thomas,1998-09-20,F,837.368.7821,CRNA,DEP-002,2007-10-04
NUR-290755,Kayla,Lee,1975-09-24,F,789-433-8911,Nurse Educator,DEP-020,2013-03-24
NUR-292576,Jessica,Schultz,1992-06-19,F,001-487-916-8534x671,Nurse Administrator,DEP-010,2004-12-10
NUR-294174,Morgan,Ferguson,1978-07-29,F,+1-869-051-0294,Nurse Administrator,DEP-018,2011-07-18
NUR-296160,Nancy,Blair,1963-06-30,F,988.568.2493x66093,Nurse Practitioner,DEP-010,2000-04-15
NUR-297309,Janet,Lewis,1961-10-30,F,(458)936-7054x9395,Nurse Administrator,DEP-008,2019-01-21
NUR-298135,Melinda,Burgess,1992-06-03,F,817-406-6292,Midwife,DEP-009,2024-06-27
NUR-298657,Danielle,Turner,1983-10-05,F,+1-762-922-2795x412,RN,DEP-012,2015-01-18
NUR-299727,Barbara,Martinez,1997-09-30,F,001-205-055-6879x674,Oncology Nurse,DEP-010,2004-07-12
NUR-299730,Rachel,Jimenez,1979-11-25,F,849.117.9112x7859,Midwife,DEP-009,2006-12-25
NUR-303090,Melissa,Cabrera,1971-07-14,F,+1-546-312-6531,ER,DEP-001,2011-04-29
NUR-303506,Maria,Smith,1979-03-12,F,001-592-317-6067x420,Midwife,DEP-009,2015-01-10
NUR-303974,Regina,Nguyen,1976-08-09,F,001-477-705-5847x988,CRNA,DEP-020,2005-12-29
NUR-304599,Mary,Buckley,1975-03-28,F,234.732.6598x28367,Nurse Practitioner,DEP-019,2021-02-22
NUR-304812,Chelsea,Hunt,1963-12-26,NB,001-671-127-0746x118,Midwife,DEP-009,2010-08-09
NUR-304948,Brittany,Kim,1965-04-15,F,(626)595-3886x759,ER,DEP-001,2025-08-14
NUR-306926,Sarah,Newman,1965-05-30,F,(984)894-4672,LPN,DEP-002,2007-10-14
NUR-308987,Amber,Williams,2003-06-02,F,001-458-721-7064x491,Nurse Informaticist,DEP-006,2007-11-25
NUR-309338,Ricky,Barr,1998-10-31,NB,+1-547-808-2935x222,Midwife,DEP-009,2016-12-13
NUR-309698,Meagan,Silva,2002-12-31,F,+1-072-142-5883,CRNA,DEP-002,2014-10-23
NUR-309906,Laura,Cox,1993-03-28,NB,+1-319-952-0660x0589,ER,DEP-001,2006-11-01
NUR-311030,Curtis,Stephens,1968-11-19,M,184-582-6051x927,ER,DEP-001,2018-05-22
NUR-312641,Lydia,Smith,1994-02-09,F,(824)835-9188x6946,CRNA,DEP-020,2002-05-20
NUR-313194,Kendra,Werner,1971-08-21,F,765.393.4049x2245,Nurse Informaticist,DEP-012,2022-12-27
NUR-314508,Veronica,Anderson,1970-08-16,F,+1-763-198-3432x0407,Nurse Informaticist,DEP-002,2012-04-23
NUR-316786,Heather,Armstrong,1962-05-27,F,690.181.2375,Nurse Practitioner,DEP-014,2011-10-15
NUR-317391,Joanna,Gill,1984-06-19,F,001-380-554-8143x575,Nurse Practitioner,DEP-009,2024-10-19
NUR-318513,Ruben,Hughes,1998-07-25,M,576-407-9727,LPN,DEP-013,2010-09-22
NUR-320257,Steven,Frazier,1990-06-19,M,+1-033-596-9286x9869,ER,DEP-001,2022-06-19
NUR-320358,Kerry,Jackson,1977-07-29,F,+1-702-741-6695x3531,Nurse Educator,DEP-019,2018-09-19
NUR-320454,Brooke,Jensen,1974-10-22,F,(596)540-0698x706,CRNA,DEP-002,2002-06-09
NUR-321640,Andrea,Roach,1962-05-31,F,+1-591-701-4883x7943,Nurse Administrator,DEP-013,2003-07-30
NUR-322443,Stephanie,Baker,1968-03-23,NB,387-376-5557x57906,ER,DEP-001,2024-03-05
NUR-323860,Eric,Smith,1983-05-17,M,+1-829-512-8536x2186,LPN,DEP-004,2008-04-20
NUR-327022,Jennifer,Rivera,1988-12-29,F,(072)786-3569x03646,LPN,DEP-011,2000-06-27
NUR-328495,Catherine,Williams,1976-11-10,F,001-651-156-9164x911,RN,DEP-014,2003-08-13
NUR-328786,Jimmy,Ortiz,1973-01-14,M,+1-205-579-9234x422,Nurse Informaticist,DEP-006,2022-04-13
NUR-329271,Teresa,Clayton,1985-09-29,F,+1-605-091-1588x1618,LPN,DEP-016,2022-10-08
NUR-330010,Rebekah,Martin,1963-10-12,F,852.051.1285,Nurse Administrator,DEP-015,2007-03-24
NUR-330447,Krista,Sosa,1997-10-13,F,+1-469-236-1309x3963,RN,DEP-007,2021-01-23
NUR-332010,Brittany,Wall,1992-03-24,F,001-906-374-1789x927,CRNA,DEP-018,2015-04-14
NUR-334128,Ashley,Barnes,1997-06-18,F,+1-283-078-1032x1155,Nurse Informaticist,DEP-009,2001-05-30
NUR-334567,Felicia,Anderson,1983-09-08,F,175-974-4025x3053,RN,DEP-005,2018-01-31
NUR-335600,Kathleen,Lopez,1998-10-26,F,008-795-8395,Med-Surgical,DEP-001,2017-10-21
NUR-336690,Jennifer,Campos,1964-02-09,F,+1-473-895-3230x7967,LPN,DEP-012,2006-04-01
NUR-337481,Renee,Young,1971-05-20,F,+1-556-701-1420x886,Nurse Educator,DEP-010,2019-04-08
NUR-337588,Tiffany,Arias,1992-07-17,F,001-527-109-9267x258,Med-Surgical,DEP-020,2003-06-15
NUR-338320,Rachael,Erickson,1967-09-23,F,183-991-6434x131,Nurse Informaticist,DEP-014,2022-12-30
NUR-340086,Gabrielle,Mckinney,1994-07-21,F,+1-492-548-9174x078,Nurse Practitioner,DEP-010,2020-12-13
NUR-340277,Nicole,Alvarez,1981-06-11,F,(443)778-3771,Midwife,DEP-009,2024-06-25
NUR-342206,Danielle,Fowler,1997-06-10,F,436-778-4904x48434,Med-Surgical,DEP-004,2019-01-30
NUR-342869,Jill,Fisher,1960-12-27,F,+1-740-963-4716x1167,Nurse Educator,DEP-015,2025-06-02
NUR-345328,Angel,Baker,1965-12-27,F,001-560-055-6451x652,LPN,DEP-004,2026-02-02
NUR-346998,Angela,Johnson,1992-07-08,F,001-598-636-8822x535,CRNA,DEP-020,2011-09-26
NUR-349482,Kimberly,Walter,1969-06-30,F,468.638.2070x7900,Nurse Informaticist,DEP-006,2021-03-27
