doctor_id,first_name,last_name,birth_date,gender,contact,specialty,department_id,hire_date
DOC-588473,Amy,Murray,1959-06-06,F,7987460663,Perinatologist,DEP-008,2022-01-26
DOC-593276,Aaron,Sutton,1986-06-02,M,001-147-737-2674,Emergency Medicine,DEP-005,2019-12-30
DOC-595065,Jon,Davies,1987-03-23,M,640-751-2272x5609,Neurosurgeon,DEP-002,2000-11-20
DOC-595830,Daniel,Bradshaw,1971-05-17,M,+1-424-792-2807x758,Anesthesiologist,DEP-002,2008-10-11
DOC-597795,Chad,Torres,1995-08-16,M,+1-050-070-0611,Perinatologist,DEP-002,2014-06-22
DOC-599568,Rachel,Sparks,1992-06-21,NB,+1-095-850-9081x995,Gynecologist,DEP-009,2015-12-13
DOC-602038,Susan,Medina,1994-11-23,F,974-299-4312x5312,Internist,DEP-005,2007-06-04
DOC-603512,Jeffery,Schultz,1979-11-05,M,001-226-693-5073x233,Oncologist,DEP-010,2012-01-29
DOC-606110,Brandon,Trujillo,1959-05-31,M,(888)296-0245x061,Radiologist,DEP-012,2016-03-15
DOC-607568,Tina,Daniel,1993-10-10,F,689-435-7399x7939,Hematologist,DEP-002,2025-08-31
DOC-608141,Justin,Harper,1968-03-11,M,(988)700-9233,Radiologist,DEP-020,2021-08-17
DOC-609792,Ryan,Smith,1979-06-20,M,001-794-455-6586,Hospitalist,DEP-001,2013-10-22
DOC-611361,Rose,Jordan,1996-01-11,F,001-294-266-4971x351,Neonatologist,DEP-002,2025-06-09
DOC-613533,Trevor,Tran,1977-06-20,M,(993)809-0356x483,Otolaryngologist,DEP-020,2006-07-23
DOC-619227,Sandra,Mccullough,1982-01-21,F,+1-033-012-6075x4163,Vascular Surgeon,DEP-003,2002-05-09
DOC-619775,Grant,Osborn,1989-05-15,M,656-662-1437x32543,Hematologist,DEP-020,2021-05-10
DOC-619815,Nicholas,Gonzalez,1989-07-19,M,(674)381-1953,Neurosurgeon,DEP-020,2005-05-27
DOC-621820,Mary,Bennett,1997-10-15,F,001-777-373-0974,Perinatologist,DEP-009,2024-07-08
DOC-622347,Jenny,Gibson,1958-01-20,F,+1-184-300-9604x620,Neurosurgeon,DEP-002,2005-07-22
DOC-623747,David,Hunter,1965-04-18,M,605-415-5346,Emergency Medicine,DEP-008,2004-05-13
DOC-624290,Zoe,Stafford,1964-05-01,F,+1-102-500-0912x3851,Pediatrician,DEP-005,2001-07-27
DOC-624336,Richard,Krueger,1997-08-30,M,+1-841-133-2243,Pathologist,DEP-020,2019-04-07
DOC-628460,Elizabeth,Young,1969-07-19,F,(611)940-1632x75224,Endocrinologist,DEP-020,2026-07-27
DOC-633119,Danny,Adams,1976-03-12,M,(876)674-4783x245,Internist,DEP-020,2009-01-22
DOC-633264,Christopher,Briggs,1978-01-03,M,059.038.3134x354,Obstetrician,DEP-020,2018-03-07
DOC-634815,James,Beltran,1981-02-06,M,563.376.9101x9778,Neonatologist,DEP-008,2010-01-16
DOC-637664,Monica,Bell,1967-06-04,F,8975290669,Rheumatologist,DEP-005,2025-08-19
DOC-646164,Mike,Copeland,1959-07-08,M,885.156.8501,Ophthalmologist,DEP-020,2025-05-25
DOC-646856,Russell,Cortez,1992-02-23,M,(251)469-2813,Radiologist,DEP-012,2013-04-25
DOC-647858,Blake,Garcia,1986-11-17,M,+1-478-377-7904x864,Cardiothoracic Surgeon,DEP-020,2019-07-28
DOC-647995,Amber,Ball,1990-08-08,F,869.484.4777,Emergency Medicine,DEP-005,2024-04-19
DOC-650020,Kaylee,Paul,1986-06-24,F,(864)424-7745,Emergency Medicine,DEP-008,2008-02-29
DOC-651087,Susan,Beard,1976-08-13,NB,194.613.5411,Gynecologist,DEP-020,2016-10-19
DOC-652433,Michael,Smith,1967-03-02,M,+1-613-173-2561x1978,Oncologist,DEP-020,2024-10-18
DOC-653993,Dawn,George,1986-06-06,F,(736)904-7947,Pediatrician,DEP-008,2005-11-07
DOC-658922,John,Brown,1994-06-04,M,551.383.5014,General Surgeon,DEP-004,2004-02-12
DOC-667279,Edward,Thomas,1984-05-27,M,062-346-6441,Emergency Medicine,DEP-001,2023-09-25
DOC-673061,Nathan,Schultz,1983-12-05,M,(248)243-4348x64033,Trauma Surgeon,DEP-002,2020-06-11
DOC-673854,Kimberly,Richardson,1964-12-24,F,(803)386-5671,Radiologist,DEP-001,2016-12-30
DOC-682357,Rickey,Norris,1990-10-11,M,487.594.5916x1080,Pediatrician,DEP-008,2017-01-22
DOC-683241,Kimberly,Mcdonald,1961-08-09,F,980-916-7591x07208,Emergency Medicine,DEP-001,2025-09-11
DOC-683649,Brenda,Farmer,1978-03-30,F,001-757-064-2678x598,Otolaryngologist,DEP-020,2004-05-23
DOC-683722,Timothy,Novak,1973-03-12,M,+1-678-450-4966x3933,General Surgeon,DEP-004,2009-01-05
DOC-684047,Robert,Chandler,1964-11-10,M,(230)111-8184x40075,Pulmonologist,DEP-015,2006-06-04
DOC-686660,Kelly,Brandt,1983-07-01,M,670.057.3526,Hematologist,DEP-016,2018-12-17
DOC-690407,Andrew,Rodriguez,1974-07-23,M,174.473.5215,General Surgeon,DEP-002,2016-02-08
DOC-691194,Bobby,Bailey,1959-03-20,M,914.245.8849x0892,Neonatologist,DEP-008,2012-10-11
DOC-694822,Daniel,Watson,1979-11-12,M,(934)274-0194,Psychiatrist,DEP-013,2001-06-01
DOC-697721,Chelsea,Miller,1961-07-05,F,886.563.7733,Neurosurgeon,DEP-002,2011-02-05
DOC-702997,Wendy,Edwards,1973-07-17,F,001-275-777-7738,Neonatologist,DEP-020,2024-08-06
DOC-705984,Karen,Johnson,1988-02-19,F,001-879-964-2430x880,Colorectal Surgeon,DEP-020,2003-09-25
DOC-708161,Christine,Hensley,1976-03-26,F,+1-699-422-9380x413,Endocrinologist,DEP-017,2013-09-03
DOC-708229,Robert,Mcdonald,1993-11-02,M,+1-703-369-5961x5167,Internist,DEP-015,2001-01-12
DOC-710219,Philip,Marshall,1970-07-07,M,001-737-346-9947x026,Colorectal Surgeon,DEP-020,2016-12-10
DOC-712477,Joseph,Ponce,1975-10-17,M,(711)347-5357x919,Neonatologist,DEP-002,2000-08-15
DOC-715180,Aimee,Marks,1977-12-06,F,+1-281-289-8690,Neonatologist,DEP-002,2021-12-08
DOC-715187,Karla,Stone,1991-09-10,F,584-689-0517x748,Anesthesiologist,DEP-020,2007-11-12
DOC-716908,Joyce,Sims,1956-02-12,F,491.097.6792x75466,Intensivist,DEP-015,2000-04-09
DOC-719748,Jessica,Brown,1983-08-19,F,(233)665-7484,Cardiologist,DEP-015,2006-12-23
DOC-721145,Debra,Atkinson,1969-02-02,F,9503428043,Endocrinologist,DEP-020,2000-05-25
DOC-721151,Melinda,Daniel,1960-07-12,F,905-050-3579x847,Neurologist,DEP-008,2014-03-09
DOC-724452,Shannon,Turner,1970-01-02,F,936-674-8738x1271,Neurosurgeon,DEP-020,2000-03-09
DOC-727886,Brandon,Holmes,1974-11-02,M,(240)155-2370,Colorectal Surgeon,DEP-004,2015-02-28
DOC-728967,Charles,Ayala,1992-05-21,M,001-982-017-7199,Rheumatologist,DEP-015,2007-11-30
DOC-729671,Joel,Wright,1992-05-18,M,001-984-116-7036x328,Gynecologist,DEP-020,2009-12-23
DOC-730578,Lauren,Ramirez,1975-10-25,F,001-497-920-7680,Otolaryngologist,DEP-020,2012-02-17
DOC-732740,Katherine,Douglas,1969-10-28,F,877.452.2593x62127,Oncologist,DEP-002,2014-01-10
DOC-732925,Steven,Forbes,1986-04-10,M,567-159-5124,Internist,DEP-002,2007-08-25
DOC-732987,Catherine,Alvarez,1957-01-28,F,160.872.3299x22803,Otolaryngologist,DEP-008,2016-07-20
