employee_id,first_name,last_name,gender,position,department_id,contact,salary,hire_date
EMP-206927,Daniel,Murphy,M,Health Information Manager,DEP-020,+1-104-130-7712,74760.79,2022-04-13
EMP-207513,Courtney,Cannon,F,IT Analyst,DEP-001,(693)772-0097x0938,76369.83,2021-11-10
EMP-207845,Jessica,Johnson,F,IT Analyst,DEP-020,(607)330-1650x47461,68608.3,2016-02-29
EMP-210305,Brian,Russell,M,IT Analyst,,001-435-692-0906x721,62225.02,2008-05-14
EMP-213631,Nathaniel,Anderson,M,Health Information Manager,DEP-002,609.473.8557,78098.27,2015-08-11
EMP-218048,Tony,Cole,M,Compliance Officer,,677.169.3816,103227.7,2006-06-06
EMP-220531,Louis,Weaver,M,Compliance Officer,,808.341.9259x52498,70279.32,2024-12-22
EMP-221522,Donna,Castro,F,Facilities Manager,DEP-008,528.087.8026,56306.57,2021-01-30
EMP-222292,Nicole,Foley,F,Quality Assurance Analyst,DEP-019,913-346-4829,60801.14,2023-09-18
EMP-223183,Manuel,Thompson,M,Compliance Officer,DEP-008,001-252-313-5928x922,78678.37,2009-04-14
EMP-224378,Daniel,Lyons,M,Health Information Manager,DEP-018,180.562.8969,69609.41,2018-08-14
EMP-224914,Leah,Vaughn,F,HR Coordinator,,122.113.7712x8343,48121.61,2021-08-30
EMP-224944,Joseph,Myers,M,Medical Coder,DEP-014,2300103358,64198.68,2022-10-20
EMP-225337,Billy,Anderson,M,Facilities Manager,,759-357-8830x00383,62118.98,2021-12-22
EMP-225995,Ariel,Moore,F,Quality Assurance Analyst,,716.923.9872x691,79575.08,2017-03-05
EMP-227386,Betty,Edwards,F,Supply Chain Coordinator,DEP-011,(610)575-8780,48909.69,2022-03-11
EMP-230141,Michael,Mclaughlin,NB,Health Information Manager,DEP-011,001-484-514-3999x601,71964.48,2020-10-16
EMP-238860,Ashley,Kramer,F,Hospital Administrator,,001-488-813-4798x176,156011.44,2018-04-28
EMP-239964,Jeffrey,Alvarez,M,Billing Specialist,,162-840-7664x5761,44884.47,2021-06-10
EMP-240060,Amy,Tucker,F,Billing Specialist,DEP-017,085-490-6771x6330,38126.27,2008-12-11
EMP-240851,Jeff,Adams,M,Quality Assurance Analyst,,+1-404-152-8270,79172.98,2018-10-13
EMP-244158,Angela,Woods,F,Billing Specialist,DEP-005,(258)560-9214,48435.59,2005-08-01
EMP-251770,Derek,Miller,M,HR Coordinator,DEP-018,599-186-7653,46636.59,2010-07-11
EMP-252188,Jessica,Moore,F,Facilities Manager,DEP-016,(760)405-8446,51044.8,2026-07-02
EMP-253125,Valerie,Griffith,F,HR Coordinator,DEP-001,027.393.5752x274,61718.62,2006-06-15
EMP-254279,Derek,Smith,M,IT Analyst,DEP-002,001-967-159-1160x724,83831.11,2020-05-06
EMP-254695,James,Lawrence,M,Quality Assurance Analyst,,426-458-1108x37709,84508.98,2020-04-07
EMP-255096,Natalie,Hanson,F,IT Analyst,DEP-008,001-805-676-1698x025,60684.83,2019-04-02
EMP-255255,Bryan,Barnes,M,HR Coordinator,,917.986.8734x09411,49934.91,2017-03-02
EMP-256638,Nicole,Burgess,F,Supply Chain Coordinator,DEP-016,328.126.8565,59033.14,2012-09-29
EMP-258163,Michael,Stafford,M,Patient Services Coordinator,DEP-016,+1-220-688-0528x475,38580.84,2020-08-25
EMP-258416,Teresa,Watson,F,Billing Specialist,DEP-010,+1-497-611-9779x537,53857.27,2008-03-04
EMP-264734,Jasmine,Rice,F,Facilities Manager,DEP-006,(286)843-8452x913,68303.7,2008-07-11
EMP-265087,Timothy,Martinez,M,Medical Receptionist,,267.383.5870x8636,36814.31,2011-01-16
EMP-265805,Rachel,Hill,F,Facilities Manager,DEP-016,(723)375-1029x34208,72753.79,2010-01-15
EMP-272202,Jon,Martinez,M,Medical Coder,DEP-017,124.168.5192,46200.08,2023-05-24
EMP-276683,Ethan,Rowland,M,Supply Chain Coordinator,,966-284-8402,50878.94,2013-02-15
EMP-278895,Mark,Stevens,M,Quality Assurance Analyst,DEP-009,(265)508-1117,75698.91,2025-04-08
EMP-282013,Diana,Fowler,F,IT Analyst,DEP-013,(843)948-2927,85289.3,2015-11-20
EMP-285278,Courtney,Mann,F,Patient Services Coordinator,DEP-020,001-408-551-8017x100,38846.38,2025-11-15
EMP-286391,Melody,Mejia,F,Quality Assurance Analyst,,033-322-9227,71367.48,2005-06-12
EMP-292441,Jason,Mccall,M,Patient Services Coordinator,DEP-009,388-458-5557x36920,38264.39,2011-04-15
EMP-296562,Ashley,Anderson,F,HR Coordinator,DEP-004,340-276-0369,50716.13,2023-09-08
EMP-300139,Brenda,Martinez,F,IT Analyst,,(819)983-0161x9961,60576.54,2007-03-30
EMP-301932,Diane,Nelson,F,Medical Receptionist,DEP-007,001-934-233-1581x993,35816.97,2005-09-27
EMP-303125,Courtney,Mitchell,F,Medical Coder,DEP-011,777.789.5962x56585,59550.02,2007-12-30
EMP-303736,Donald,Carpenter,M,Patient Services Coordinator,DEP-010,(330)289-4227x648,40586.64,2015-05-14
EMP-304548,Steven,Knight,M,Billing Specialist,DEP-015,770.298.3690x39239,47942.66,2014-10-14
EMP-308080,Jeremy,Parks,M,Billing Specialist,,757.684.6128x0323,44058.92,2009-03-23
EMP-309879,Justin,Myers,M,HR Coordinator,DEP-002,491.562.0184,64530.7,2013-10-01
EMP-312157,Kara,Mitchell,F,Supply Chain Coordinator,,810.654.4833x221,49651.45,2016-08-19
EMP-312673,Matthew,Knight,M,Billing Specialist,DEP-012,(832)119-8492,43046.54,2012-07-27
EMP-316100,Jo,Rodriguez,F,Patient Services Coordinator,,775-287-2715x40265,41976.31,2024-09-25
EMP-320547,Juan,Wallace,M,Patient Services Coordinator,DEP-011,559.487.4712,35270.76,2009-04-04
EMP-321389,Whitney,Medina,NB,Billing Specialist,,001-798-177-4173x437,52166.82,2019-12-27
EMP-324301,Margaret,Willis,F,Hospital Administrator,DEP-002,(452)403-3950,137479.51,2005-12-08
EMP-327961,Samuel,Munoz,M,Facilities Manager,DEP-010,815-960-3827x1462,58180.38,2014-02-18
EMP-332307,Melanie,Bradshaw,F,Compliance Officer,DEP-015,001-356-727-5958x467,93516.57,2019-03-29
EMP-334518,Christopher,Duncan,M,Compliance Officer,DEP-015,(126)401-0938x75508,96376.42,2012-06-20
EMP-334689,Randall,Taylor,M,Facilities Manager,,001-070-935-5027x579,62263.63,2019-06-27
EMP-335164,Gary,Ford,M,HR Coordinator,DEP-004,629.806.2547x9608,58761.62,2011-08-20
EMP-336877,Patrick,Singleton,M,Health Information Manager,DEP-006,001-340-895-3591x003,81021.91,2021-03-21
EMP-338588,Danielle,Walton,F,Medical Coder,DEP-001,001-512-461-2921x753,62223.93,2006-05-14
EMP-339802,Billy,Brown,M,Facilities Manager,,329-645-6566x516,56837.54,2024-02-01
EMP-340292,Gregory,Pratt,M,Billing Specialist,DEP-009,+1-126-509-7030,53372.22,2008-08-08
EMP-347219,Zachary,Turner,M,Hospital Administrator,,+1-197-300-1332x2417,143917.15,2019-03-29
EMP-347339,Michael,Garcia,M,Compliance Officer,,469-376-9790,109191.28,2022-05-10
EMP-347827,Sandy,Flores,F,Health Information Manager,DEP-011,468-782-6473x2182,75335.22,2014-12-22
EMP-348023,Kim,Conner,F,IT Analyst,DEP-016,(633)192-9492,77872.17,2022-09-10
EMP-349803,Kellie,Glenn,F,Medical Receptionist,,078-069-0411,40324.47,2010-12-05
EMP-350844,William,Cooper,M,Compliance Officer,DEP-003,(464)775-9107,84188.47,2022-12-06
EMP-353178,Lori,Spears,F,IT Analyst,DEP-019,001-939-453-1612x514,75016.86,2015-01-13
EMP-355158,Christina,Smith,F,Facilities Manager,,001-947-220-5193x113,66188.38,2020-04-13
EMP-355677,Cathy,Arellano,F,Billing Specialist,DEP-013,(311)082-1345x2671,50637.6,2022-10-25
EMP-356669,Brittany,Nolan,F,Billing Specialist,DEP-009,886.915.4325,51937.12,2012-07-12
EMP-359800,Michael,Brock,M,Medical Coder,,+1-125-169-3296,64651.98,2013-04-13
EMP-360288,Daniel,Cervantes,M,Quality Assurance Analyst,DEP-013,+1-087-392-9108x2795,84974.21,2024-10-12
EMP-360380,Mark,Flores,M,Supply Chain Coordinator,,(295)631-4536x5129,66622.33,2022-03-15
EMP-361966,Laura,Edwards,F,IT Analyst,,672.400.0064,70062.63,2010-08-27
EMP-362078,Brendan,Gonzalez,M,Medical Receptionist,,(280)447-5516x1332,43952.64,2025-10-13
EMP-362195,Cody,Dodson,M,Supply Chain Coordinator,DEP-001,001-745-276-9726,49100.65,2008-09-25
EMP-366541,Jason,Watkins,M,HR Coordinator,,5434928868,63745.66,2012-04-12
EMP-369454,Jason,Griffin,M,Billing Specialist,DEP-020,(918)375-9785,47128.91,2017-12-02
EMP-369702,Kevin,Thomas,M,Billing Specialist,,122-385-8958x279,47792.43,2013-03-27
EMP-371258,Amy,Townsend,F,HR Coordinator,DEP-015,247-176-9955,62655.6,2022-02-11
EMP-374174,Michelle,Vega,F,HR Coordinator,DEP-006,892-998-8967,69320.13,2016-03-21
EMP-375028,Gregory,Romero,M,Compliance Officer,DEP-020,794.579.2176,102285.0,2025-05-16
EMP-379226,Michelle,Lawrence,F,Medical Receptionist,DEP-015,001-031-816-7124,31783.52,2021-12-21
EMP-381957,William,Scott,M,Patient Services Coordinator,DEP-002,(638)591-6713,38531.44,2010-06-22
EMP-383529,Jacob,Jimenez,M,HR Coordinator,DEP-007,001-985-368-7614x098,49603.5,2015-07-04
EMP-384709,Megan,Hatfield,F,Patient Services Coordinator,,946.768.8459,40663.5,2026-07-13
EMP-387700,Lisa,Cooper,F,Supply Chain Coordinator,,679.667.8440x3524,55342.79,2008-08-13
EMP-387856,Joshua,Lopez,M,Patient Services Coordinator,DEP-009,914.853.4581x8929,47267.1,2021-08-29
EMP-388892,Jennifer,Olson,F,Patient Services Coordinator,DEP-012,554-172-7771,38805.28,2011-06-08
EMP-389470,Joseph,Robles,M,Supply Chain Coordinator,DEP-007,457.642.9351,63797.68,2022-03-17
EMP-399846,Stacy,Chen,NB,HR Coordinator,,001-142-951-7277,45969.36,2017-01-21
EMP-400215,Susan,Preston,F,Medical Receptionist,DEP-004,139-472-7932,42567.92,2014-07-06
EMP-400399,Maria,Ramsey,F,Patient Services Coordinator,DEP-012,9163126614,36648.42,2020-04-28
EMP-404470,James,Brown,M,Patient Services Coordinator,,682-837-0903x50771,50597.15,2016-05-20
EMP-405300,Tony,Nunez,M,Medical Receptionist,DEP-009,(602)599-3869x61470,31709.35,2010-06-15
EMP-405432,Heather,Ballard,F,Health Information Manager,,(062)893-2006x36793,97799.93,2025-08-31
EMP-405587,Carla,Gray,F,IT Analyst,,7835321856,62868.87,2020-11-26
EMP-405881,Daniel,Galvan,M,Hospital Administrator,DEP-020,+1-036-368-0772x0709,120409.04,2020-03-21
EMP-408765,Kelli,Chandler,F,IT Analyst,,829-026-9328x889,60271.1,2009-10-11
EMP-410532,Brian,Wright,M,HR Coordinator,DEP-008,(737)315-0243x11051,62810.26,2006-08-21
EMP-412232,Luis,Hooper,M,Supply Chain Coordinator,DEP-013,+1-542-169-3052x6458,59376.73,2022-12-18
EMP-412919,Patricia,Brady,F,Patient Services Coordinator,DEP-006,016-488-5305x332,51039.55,2010-10-03
EMP-413258,Valerie,Rodgers,F,Patient Services Coordinator,DEP-007,825-275-3871,39499.57,2020-11-12
EMP-414188,Kathryn,Mann,F,Supply Chain Coordinator,DEP-017,+1-501-467-2901x3378,62505.71,2017-07-28
EMP-414346,John,Hayes,M,Medical Coder,DEP-010,316.473.5620x511,51718.19,2005-07-03
EMP-416025,Kimberly,Levine,F,Supply Chain Coordinator,DEP-019,+1-821-197-7674x328,67215.1,2013-09-07
EMP-417723,Brian,Chavez,M,Patient Services Coordinator,DEP-017,519-578-8145,42340.32,2026-02-26
EMP-420164,Xavier,Campbell,M,Facilities Manager,DEP-009,268-259-4730,56861.71,2010-11-24
EMP-420392,Felicia,Barnes,F,Compliance Officer,,+1-381-755-3908x324,107250.1,2012-02-04
EMP-421269,Kayla,Bishop,F,Health Information Manager,,001-766-136-5482x808,71801.87,2019-10-05
EMP-422068,Shannon,Romero,NB,Quality Assurance Analyst,,001-356-064-5778,73120.2,2012-06-06
EMP-422332,Catherine,Stanley,F,HR Coordinator,,294-697-2199x1646,47428.14,2019-05-27
EMP-428574,Richard,Morton,M,Supply Chain Coordinator,DEP-001,7975854326,69272.21,2006-03-10
EMP-429790,Andrew,Hughes,M,HR Coordinator,,(309)712-8708,67276.19,2014-05-16
EMP-433818,James,Norris,M,Health Information Manager,,934-377-8287,79501.37,2007-11-30
EMP-434251,Sarah,Morrison,F,Patient Services Coordinator,,001-447-140-5502x370,37925.16,2011-11-25
EMP-434529,Sherry,Coleman,F,Quality Assurance Analyst,,(482)189-5405,74026.68,2011-07-23
EMP-435012,Dawn,Peterson,F,HR Coordinator,,(830)081-5768,61305.94,2011-09-27
EMP-435571,Kenneth,Olson,M,Hospital Administrator,DEP-012,+1-642-281-6401x9356,171004.76,2026-01-06
EMP-438755,Mary,Williams,F,Hospital Administrator,DEP-015,+1-054-941-8502x769,173124.55,2007-06-29
EMP-439750,Jeffrey,Hamilton,M,Facilities Manager,DEP-010,480-304-9251x5701,56146.29,2024-09-16
EMP-440235,Lindsey,Chavez,F,Facilities Manager,DEP-018,(803)446-9936x8456,53786.85,2010-02-04
EMP-442111,Patricia,Espinoza,F,Medical Receptionist,,(001)196-7458,32540.0,2020-04-05
EMP-442420,Sheila,Harris,F,Hospital Administrator,DEP-020,950.373.5662,132399.84,2019-10-25
EMP-442533,Sandra,Bryant,F,Supply Chain Coordinator,,+1-953-442-0766x876,68052.16,2009-08-15
EMP-443198,Pamela,Walker,F,Supply Chain Coordinator,DEP-014,8744706143,45141.81,2026-01-31
EMP-443680,Michael,Taylor,M,IT Analyst,DEP-003,081-241-1881,69695.9,2006-06-28
EMP-446812,Anthony,Phillips,M,Patient Services Coordinator,DEP-010,+1-936-183-4253x047,42693.6,2017-05-30
EMP-447117,Lisa,Holt,F,Compliance Officer,,1593429893,105967.81,2016-01-10
EMP-450201,Gabriel,Adams,M,Health Information Manager,DEP-013,+1-819-846-7138,66566.49,2008-03-06
EMP-453848,Tonya,Perez,F,Compliance Officer,DEP-020,(292)285-1762x777,95883.57,2016-12-24
EMP-454055,Karen,Martinez,F,Medical Coder,DEP-011,(555)798-4576,62972.94,2017-08-18
EMP-458699,Sandra,Mueller,F,Patient Services Coordinator,DEP-011,(667)777-5595x5211,50187.24,2016-06-06
EMP-459359,Natalie,Mason,F,Facilities Manager,DEP-017,201-321-3249x35828,75476.62,2016-05-30
EMP-460138,Amy,Schmitt,F,Facilities Manager,DEP-004,7454392874,79919.08,2023-07-14
EMP-461293,Kathy,Young,NB,Facilities Manager,DEP-004,601.924.3869,75710.09,2022-02-04
EMP-462504,Kendra,Williams,NB,Supply Chain Coordinator,,(123)458-9971x63715,60592.24,2013-09-30
EMP-462999,Jennifer,Powers,F,Supply Chain Coordinator,DEP-003,712-954-8703,67005.67,2021-12-01
EMP-463071,Jeffrey,Hodges,M,HR Coordinator,,(157)767-9490x830,57374.4,2018-04-05
EMP-463389,Christopher,Myers,M,Quality Assurance Analyst,DEP-016,001-270-653-5778x373,55475.5,2011-03-01
EMP-465122,Luke,Clark,M,Facilities Manager,DEP-008,(129)336-3748,54142.4,2009-03-20
EMP-467104,Alec,Thompson,M,Patient Services Coordinator,,773-741-8420x3503,42986.82,2005-11-16
EMP-469131,Kristine,Skinner,F,Facilities Manager,DEP-009,+1-084-086-0182,53385.13,2015-06-19
EMP-469282,Julie,Brown,F,Medical Coder,,+1-359-480-0557x465,51438.64,2008-03-23
EMP-471934,Sandra,Fry,F,Compliance Officer,DEP-014,001-870-605-0413x268,105575.88,2014-01-02
EMP-472306,Lisa,Greene,F,HR Coordinator,DEP-012,+1-832-610-4879,49693.71,2024-07-03
EMP-473235,Jody,Burke,F,Compliance Officer,DEP-020,637-078-0789x050,103496.48,2013-06-06
EMP-474209,Allison,Curry,F,Medical Receptionist,DEP-003,+1-295-370-7603x028,39182.8,2015-07-05
EMP-476699,Andrea,Briggs,F,IT Analyst,,+1-268-092-4543x9812,82944.57,2016-05-24
EMP-479225,Logan,Mayo,M,Billing Specialist,DEP-007,369.457.6964x52992,55326.9,2019-10-29
EMP-483016,John,Campbell,M,HR Coordinator,DEP-008,+1-151-048-8743x6712,67969.38,2025-04-08
EMP-483526,Monica,Burton,F,IT Analyst,DEP-020,+1-593-406-5464x005,57463.4,2018-01-26
EMP-484178,Catherine,Roberson,F,Patient Services Coordinator,,576.780.0778x09502,39059.67,2011-11-17
EMP-486063,Sandra,Kline,F,Medical Coder,,(111)812-2980x127,60197.37,2006-06-29
EMP-486525,April,Chavez,F,Quality Assurance Analyst,DEP-016,246.818.8951x1987,83116.33,2019-06-19
EMP-486605,Mary,Dougherty,F,Patient Services Coordinator,,001-363-234-4023x480,38086.97,2005-08-03
EMP-488016,Mindy,Gutierrez,F,Compliance Officer,,+1-578-595-1937,93909.54,2014-08-31
EMP-488751,Laura,Gordon,F,Compliance Officer,DEP-012,142-722-4518x05191,85870.27,2025-08-30
EMP-491248,Dakota,Brown,M,IT Analyst,,(691)396-9652,69962.44,2013-07-30
EMP-493140,Kyle,Brown,M,Patient Services Coordinator,DEP-002,018-661-7875x621,44171.07,2022-02-07
EMP-493851,Anthony,Carpenter,M,IT Analyst,DEP-008,001-241-114-7467x803,64682.14,2022-07-31
EMP-494061,Mark,Chavez,M,Supply Chain Coordinator,,635-679-4564x692,57180.77,2017-10-08
EMP-496140,Mark,Johnston,NB,Facilities Manager,DEP-010,+1-725-991-3100x8642,56405.41,2008-03-03
EMP-496393,Nicole,Robertson,F,Facilities Manager,DEP-002,001-010-568-1489x049,59088.64,2010-10-20
EMP-496561,Tommy,Rodriguez,M,Billing Specialist,DEP-017,621-035-8396x048,38251.57,2012-05-01
EMP-499577,Scott,Good,M,Hospital Administrator,DEP-018,(324)710-2631x76055,97920.46,2010-07-02
EMP-500905,Cynthia,Villegas,F,Billing Specialist,DEP-017,789-333-7092,42959.44,2010-09-29
EMP-501739,Brett,Mayer,M,Health Information Manager,,214-071-9796x90222,90108.31,2008-12-24
EMP-502033,Roberto,Bishop,M,Quality Assurance Analyst,,993-615-7555x814,77092.31,2024-01-31
EMP-505478,Leslie,Baker,F,Health Information Manager,,183.365.8392,82562.29,2012-03-06
EMP-505799,Nicholas,Moore,M,Health Information Manager,DEP-002,8154093400,77541.25,2025-07-23
EMP-507444,Robin,Miller,F,Patient Services Coordinator,,001-815-445-5555,43816.19,2008-05-25
EMP-508189,Mark,Jordan,M,Hospital Administrator,DEP-014,822-828-8590x9496,175134.65,2019-08-17
EMP-515747,Sean,Bass,M,HR Coordinator,DEP-017,+1-904-050-6835x2494,45931.91,2013-12-11
EMP-516639,Andrew,Daniels,M,Compliance Officer,DEP-005,996-661-2279x24164,104958.02,2018-03-25
EMP-517154,Seth,Farley,M,Medical Receptionist,DEP-020,+1-606-624-0927x525,40694.91,2007-03-01
EMP-517320,Jennifer,Oneill,F,Quality Assurance Analyst,,335.190.5832x0326,64609.49,2015-01-18
EMP-517436,Brian,Hill,M,HR Coordinator,DEP-002,705.564.0838x3783,59894.47,2013-01-05
EMP-517794,Cathy,Yates,F,IT Analyst,DEP-009,952-778-8007,87264.39,2012-11-08
EMP-519382,Mark,Anderson,M,Medical Receptionist,DEP-012,(781)226-9871x4916,37626.02,2020-11-04
EMP-519754,Allison,Adams,F,IT Analyst,,5213576196,88717.51,2011-03-13
EMP-520945,Shannon,Johnson,F,Health Information Manager,,2135521014,75387.76,2005-06-20
EMP-522325,Maria,Owens,F,Patient Services Coordinator,,+1-887-750-2856x290,36725.49,2017-08-08
EMP-525707,Luis,Banks,M,Quality Assurance Analyst,DEP-015,776-520-0166x4650,65272.95,2020-05-29
EMP-533322,Amanda,Davis,F,Hospital Administrator,,086-388-7276x27664,118380.43,2020-02-17
EMP-536202,Cassidy,Villarreal,F,IT Analyst,,001-607-351-1519,85717.32,2026-03-08
EMP-545193,Lisa,Kerr,F,Compliance Officer,DEP-018,047.370.7830x085,86340.65,2021-11-07
EMP-545770,Daniel,Johnson,M,Hospital Administrator,DEP-001,(783)487-4950,147308.09,2016-09-04
EMP-552092,Eduardo,Huerta,M,IT Analyst,DEP-019,465-392-1914x2803,73147.11,2025-03-11
EMP-555741,Tara,Mcneil,F,Compliance Officer,DEP-005,380-307-3038x357,109448.26,2009-10-29
EMP-556248,Jose,Sellers,M,Billing Specialist,DEP-011,+1-125-017-9667,44927.33,2014-12-20
EMP-556829,Brian,Nguyen,M,Supply Chain Coordinator,DEP-006,001-272-074-2500x317,48954.31,2005-05-03
EMP-557951,Joan,Gonzalez,F,HR Coordinator,,(683)976-9762x19137,50161.33,2017-09-23
EMP-558871,Kristina,Henry,F,Billing Specialist,,(761)746-7958x925,52891.92,2016-10-15
EMP-559047,Vincent,Morales,M,Health Information Manager,DEP-007,001-959-084-0069x188,75602.53,2014-07-08
EMP-562214,Nicole,Holmes,F,Billing Specialist,DEP-004,(543)486-9618x79248,52399.63,2014-12-06
EMP-566284,Julie,Nielsen,F,Compliance Officer,DEP-015,(175)262-3631x184,72775.32,2010-07-07
EMP-567664,John,Richards,M,Supply Chain Coordinator,DEP-008,+1-090-492-7704,66734.03,2019-11-30
EMP-568246,Mary,Kelly,F,Hospital Administrator,,049-218-9799x50009,122119.68,2005-05-24
EMP-569655,Leslie,Richardson,F,Patient Services Coordinator,DEP-005,868.225.2349x45463,44981.3,2016-03-28
EMP-569767,Kenneth,Moore,M,Patient Services Coordinator,,(736)361-3890x7799,47683.09,2006-10-27
EMP-569845,Kyle,Chandler,M,Patient Services Coordinator,DEP-004,+1-361-719-6496x809,47341.64,2018-02-21
EMP-569963,Michelle,Mullins,F,Medical Receptionist,DEP-020,(863)218-7950x133,41527.72,2021-03-29
EMP-571420,Adam,Figueroa,M,Compliance Officer,,208.593.1946,89232.3,2021-04-14
EMP-578354,George,Graves,NB,IT Analyst,DEP-015,+1-885-085-8744x6679,71769.52,2025-02-26
EMP-578718,Kenneth,Miller,M,Patient Services Coordinator,,+1-108-837-4163x1018,41983.24,2013-11-21
EMP-587901,Curtis,Ochoa,M,IT Analyst,DEP-005,+1-718-001-3246x4510,86553.19,2020-05-07
EMP-588615,Jill,Hale,F,Compliance Officer,DEP-009,500-748-0077x681,84343.56,2020-04-27
